,track_id,track_name,release_date,length,track_popularity,album_id,album_name,artist_name,acousticness,danceability,energy,instrumentalness,liveness,speechiness,loudness,mode,tempo,time_signature
86,69uxyAqqPIsUyTO8txoP2M,Adventure of a Lifetime,2015-12-04,263786,80,3cfAM8b8KqJRoIzt3zLKqw,A Head Full of Dreams,Coldplay,0.00205,0.638,0.924,0.000175,0.149,0.036,-3.887,1,111.995,4
87,75JFxkI2RXiU7L9VXzMkle,The Scientist,2002-08-08,309600,85,0RHX9XECH8IVI3LNgWDpmQ,A Rush of Blood to the Head,Coldplay,0.731,0.557,0.442,1.46e-05,0.11,0.0243,-7.224,1,146.277,4
88,6RUKPb4LETWmmr3iAEQktW,Something Just Like This,2017-04-07,247160,87,4JPguzRps3kuWDD5GS6oXr,Memories...Do Not Open,The Chainsmokers,0.0498,0.617,0.635,1.44e-05,0.164,0.0317,-6.769,0,103.019,4
89,2QhURnm7mQDxBb5jWkbDug,Don't Panic,2000-07-10,136866,71,6ZG5lRT77aJ3btmArcykra,Parachutes,Coldplay,0.206,0.602,0.612,0.00607,0.107,0.0335,-8.409,1,122.062,4
90,2agBDIr9MYDUducQPC1sFU,River Flows In You,2001-11-27,188786,72,1N6p8qmf8PJgYQdktQQYYh,First Love (The Original & the Very First Recording),Yiruma,0.987,0.315,0.22,0.943,0.0802,0.0514,-21.343,1,145.195,4
91,13NC44aS3d0EFF58oVQ8T7,River Flows In You,2011-06-02,188240,54,5QSJvIB7Mn1xQiTHfkvxjP,Piano In You,Various Artists,0.987,0.32,0.242,0.949,0.0924,0.0498,-19.773,1,145.722,4
92,7vd1j4IDTU0koES9M8dvBQ,Kiss The Rain,2003-10-23,260653,62,29tE32FrVIR0L7cz9LeykK,From The Yellow Room (The Original & the Very First Recording),Yiruma,0.99,0.56,0.0519,0.905,0.117,0.0423,-22.616,1,132.691,4
93,1eDy2A3euqy3axIdoKgQd5,We Contain Multitudes — piano reworks,2022-10-28,264052,59,79a34uOB7jdMrSECClgqOv,some kind of peace — piano reworks,Ólafur Arnalds,0.994,0.422,0.0303,0.91,0.0798,0.069,-25.047,1,141.554,4
94,3IEl5LLYsvTEQmnxMaxBQa,River Flows In You,2021-09-24,210562,59,6B9JssCvQa6Z5RtcMQaK7n,SOLO,Yiruma,0.966,0.385,0.285,0.937,0.111,0.0583,-19.837,1,137.2,3
95,0HAvR5t7KFA7soF86t71PP,Yiruma,2011-02-16,165000,1,69MTT3FstLAURlckkA5NZD,"Bansuri Meditation Music - Bansuri Flute Songs for Meditation and Yoga. India Music for Relaxation, Massage, Deep Meditation, Deep Sleep, Studying, Healing Massage, Spa, Sound Therapy, Chakra Balancing and Baby Sleep",Bansuri Flute Meditation Music Masters,0.995,0.21,0.0279,0.559,0.385,0.0411,-23.987,0,106.013,4
96,3xr8COed4nPPn6XWZ0iCGr,River Flows in You,2011-12-09,218293,63,7dZ49XnPBaF4e6SMYmsNQ1,The Best - Reminiscent 10th Anniversary,Yiruma,0.968,0.287,0.292,0.978,0.09,0.0541,-19.285,1,145.703,4
97,3mKbrBTr530Kv1oLJmvOvj,Piano - Replayed Version,2015-10-09,150000,42,6cLyeW6wzB7UmOlX6fEkLi,Piano,Yiruma,0.996,0.569,0.00733,0.929,0.0931,0.173,-24.734,0,76.058,4
98,3WsKLW6FmmrVTCwHUp4ArF,Yiruma,2019-03-15,154491,1,1yssg7vvwrf43q34PDBmM9,Piano Evocations,Prof. Lacasse,0.985,0.551,0.119,0.936,0.215,0.0537,-20.377,0,71.589,4
99,02xd7yuAEiLOF7rt4zlPep,River Flows in You - Orchestra Version,2021-03-26,285251,54,73YLmvCxBSzesjqxCOBAWS,The Rewritten Memories,Yiruma,0.915,0.0863,0.201,0.943,0.113,0.0355,-14.365,0,74.351,3
0,13sOb9V6Y3uCnRxY9HIZqP,if u could see me cryin' in my room,2020-06-12,256867,69,3Ylr1ueJYvCCM2i7yPTReZ,if u could see me cryin' in my room,Arash Buana,0.921,0.469,0.173,0.0,0.12,0.0426,-11.396,1,140.323,4
1,6mhFoVQhHcj2gXOg8HhFcI,Tekoon Bede,2014-11-04,159906,39,0abU4VC9jkNydVmpg1LZ0i,SUPERMAN,Arash,0.436,0.857,0.762,0.0,0.0851,0.153,-4.334,1,120.081,4
2,1QwRHgfwLz10z73omVRGwI,"we'll be okay, for today",2022-08-19,228725,60,5O73HFP1TRW52nqawnv7iz,logic mess,Arash Buana,0.941,0.383,0.221,0.000991,0.0944,0.037,-13.725,1,107.759,4
3,3lt0bW8f6L7VRXGOXmoA3O,Melody,2014-11-04,193080,37,0abU4VC9jkNydVmpg1LZ0i,SUPERMAN,Arash,0.0188,0.73,0.868,0.000175,0.0989,0.0283,-5.17,0,127.996,4
4,1rf43cwY7lqr7dqfeM23Jj,i really do love her <3,2024-02-23,266539,48,3NsQHeCc9T391eRf4asJ6e,i really do love her <3,Arash Buana,0.0741,0.517,0.824,0.226,0.0896,0.0337,-6.88,1,154.02,4
5,1dvZrYDEy4LkDxzi9zmYuu,Arash,2005-02-01,238733,43,4VxqrQsfvo0e9GBqcH1qb0,Arash,Arash,0.235,0.61,0.908,2.31e-05,0.166,0.032,-4.222,0,88.001,4
6,0QJE4JjS8oXrWIeLZXIroX,stars,2021-02-28,274318,50,4tnqa1wvrieSIJjetfvgVs,stars,Arash Buana,0.967,0.56,0.183,0.208,0.108,0.03,-14.338,1,93.489,4
7,2jljiAZnZtzi2vvD4RmpYK,Resting (Short),2023-02-24,92125,40,3UKr71lTDxRuEUteFTvoUz,The Fox (Music from the Film),Arash Safaian,0.916,0.137,0.0775,0.909,0.104,0.0564,-23.556,0,73.249,3
8,3M3CQFX5Q9dEaauR5dMtku,say you're done with me,2020-11-25,229760,52,4fbZtfYUFeESZmfaifPXE0,say you're done with me,Arash Buana,0.901,0.651,0.298,0.000274,0.238,0.0262,-9.996,1,91.978,4
9,6vfQAHorSiUKMPvu0hBcI8,Broken Angel (feat. Helena),2014-11-04,191133,54,0abU4VC9jkNydVmpg1LZ0i,SUPERMAN,Arash,0.232,0.654,0.802,1.8e-06,0.0882,0.0251,-3.836,0,111.083,4
10,0EcQcdcbQeVJn9fknj44Be,I Like Me Better,2018-05-31,197436,81,71cQY3dUThCY6vVKaUIXqR,I met you when I was 18. (the playlist),Lauv,0.534,0.753,0.505,2.58e-06,0.104,0.255,-7.621,1,91.972,4
11,0SccFtYdj75y6lL2OW10Cf,Steal The Show,2023-06-16,192506,76,7L15PXtti3kXEn7vTXi8ZV,Elemental (Original Motion Picture Soundtrack),Thomas Newman,0.332,0.618,0.462,0.000862,0.279,0.0328,-13.154,1,92.489,4
12,3rmqiQbzPDx7A8p88IRFKg,Love U Like That,2023-08-04,211733,73,4L1fTiCm419aQYUbfRJ3mA,Love U Like That,Lauv,0.0947,0.711,0.674,0.0,0.0641,0.0317,-3.559,1,95.0,4
13,0W6cB9dPUnsL5iKOpxuSAK,Run Back To You,2024-02-23,188750,75,1OEWnZJ9NPQ1U5mpWLPLza,Run Back To You,LAY,0.0341,0.925,0.594,0.00232,0.107,0.0454,-5.755,1,117.993,4
14,2MOoIbJWIYikwIXjBDe26i,Paris in the Rain,2018-05-31,204712,69,71cQY3dUThCY6vVKaUIXqR,I met you when I was 18. (the playlist),Lauv,0.771,0.406,0.408,7.88e-06,0.394,0.053,-9.419,1,79.705,4
15,7LpMG3AEaIJgs62HQhAa91,i'm so tired...,2020-03-06,162586,73,3ZuE680xhR1A4bCFGvL8mi,~how i'm feeling~,Lauv,0.173,0.548,0.735,0.0,0.195,0.236,-7.572,1,101.252,4
16,0pSqYDTjY1Xt86usTQslAx,Who,2020-03-06,180413,70,3ZuE680xhR1A4bCFGvL8mi,~how i'm feeling~,Lauv,0.558,0.632,0.337,0.0,0.104,0.033,-8.0,0,141.701,3
17,3ZPBZH2k9p306C1bu7bkhC,Never Not,2018-05-31,208000,67,71cQY3dUThCY6vVKaUIXqR,I met you when I was 18. (the playlist),Lauv,0.691,0.471,0.22,0.0,0.104,0.037,-9.243,1,133.714,4
18,0FNdEnfQBnHBXtBRf6kHVJ,Slow Grenade,2024-03-27,217493,0,7bnh4iaT4ieAowN9fetEYF,Best of - Love songs,Various Artists,0.0996,0.758,0.562,0.0,0.0996,0.0771,-6.302,1,142.035,4
19,6r3duEAfFTH83DuoywkG20,Feelings,2020-03-06,189906,66,3ZuE680xhR1A4bCFGvL8mi,~how i'm feeling~,Lauv,0.0567,0.7,0.394,0.0,0.0801,0.0328,-8.911,1,103.041,4
20,1iQK0DUKHWSHOZ8UiCJx4v,START,2005-05-18,300960,36,1JJ2eOkplMsAyrdO4OTYrU,Let's Go!!!,DEPAPEPE,0.637,0.57,0.688,0.894,0.362,0.0282,-7.789,1,126.921,4
21,29szHomoSWOhZgC3FZxisf,Diary,2017-04-12,252266,33,2Keh6KyyS4J6k89R9ZN0kH,COLORS,DEPAPEPE,0.826,0.483,0.426,0.535,0.133,0.0364,-9.739,1,149.905,3
22,0nuim17eJ3SEcWWqC8tXOX,風見鶏,2005-05-18,275746,31,1JJ2eOkplMsAyrdO4OTYrU,Let's Go!!!,DEPAPEPE,0.767,0.409,0.503,0.141,0.112,0.0313,-7.424,1,148.062,4
23,7JdfcGn5k4TX2GGmrbl38w,きっとまたいつか(album version),2006-04-19,248760,34,22kbGU9lT5optgbIVYG4fQ,Ciao!Bravo!!,DEPAPEPE,0.75,0.71,0.362,0.793,0.11,0.0498,-9.892,1,98.025,4
24,5lSbPJXIwl2zS160dBsa3T,いい日だったね。,2005-05-18,206840,31,1JJ2eOkplMsAyrdO4OTYrU,Let's Go!!!,DEPAPEPE,0.684,0.675,0.398,0.888,0.111,0.0591,-9.416,1,117.979,4
25,7G14vaFB8EygiIiE2rWvSQ,恋水,2011-05-18,187626,25,24uuqD6hboDW6ug0IIB2NS,ONE,DEPAPEPE,0.0978,0.573,0.904,0.851,0.103,0.0337,-4.858,1,104.019,4
26,2pAmTlBdwakFYj6WLKy8do,ONE,2011-05-18,270373,35,24uuqD6hboDW6ug0IIB2NS,ONE,DEPAPEPE,0.469,0.583,0.914,0.757,0.15,0.0307,-4.719,1,100.001,4
27,6R6w662ImIHBTLt4zhp9Xv,Wedding Bell,2005-05-18,289960,33,1JJ2eOkplMsAyrdO4OTYrU,Let's Go!!!,DEPAPEPE,0.873,0.56,0.318,0.727,0.0847,0.0433,-9.101,1,128.129,4
28,7cE4vyUd3CPewUSFJ05xh9,TIME,2005,189133,31,4sLrgqYgkKSd2dTOGPqhJl,デパフユ　〜 晴れ 時どき 雪 〜,DEPAPEPE,0.9,0.721,0.352,0.956,0.127,0.068,-13.87,1,141.541,4
29,37C42ZChd82cutgDs6IYRQ,Hi-D!!!,2005-05-18,146093,26,1JJ2eOkplMsAyrdO4OTYrU,Let's Go!!!,DEPAPEPE,0.797,0.435,0.604,0.936,0.14,0.0328,-6.907,1,123.363,4
30,7KhzNtBj6hmB08fyJCIRb3,Changes,2021-09-17,214814,62,1GknYqyoJ7ZHn8ch5PJipt,Changes - EP,Hayd,0.941,0.624,0.115,3.47e-05,0.11,0.0446,-17.139,1,120.198,4
31,6A0iA4AgvF9qHZgXnCplWA,Take the Lonely,2023-04-26,188901,63,7izgMSkUbZQIt7ZFMDatoz,Take the Lonely,Hayden Coffman,0.0929,0.541,0.937,0.000107,0.36,0.0541,-4.414,0,135.947,4
32,2bcdQSriQg6Lw8twKICNLA,"Haydn: Symphony No. 88 in G Major, Hob. I:88: I. Adagio - Allegro",2007-08-03,404986,9,17vgkEqqQ758lJOf1HG6jr,Haydn: Symphonies Nos 88-92 & Sinfonia Concertante,Sir Simon Rattle,0.955,0.502,0.14,0.473,0.089,0.0585,-19.753,1,119.092,4
